Part No.,Footprint
M487KIDAE,MCU_LQFP128_14X14mm
M487SGAAE,MCU_LQFP64_7X7mm 
M487SIDAE,MCU_LQFP64_7X7mm 
M4TKLE6AE,MCU_LQFP48_7X7mm
M4TKLG6AE,MCU_LQFP48_7X7mm
M4TKRE6AE,MCU_LQFP64_10X10mm 
M4TKRG6AE,MCU_LQFP64_10X10mm 
M4TKVE6AE,MCU_LQFP100_14X14mm
M4TKVG6AE,MCU_LQFP100_14X14mm
NUC442JG8AE,MCU_LQFP144_20X20mm 
NUC442JI8AE,MCU_LQFP144_20X20mm 
NUC442KG8AE,MCU_LQFP128_14X14mm
NUC442KI8AE,MCU_LQFP128_14X14mm
NUC442RG8AE,MCU_LQFP64_10X10mm 
NUC442RI8AE,MCU_LQFP64_10X10mm 
NUC442VG8AE,MCU_LQFP100_14X14mm
NUC442VI8AE,MCU_LQFP100_14X14mm
NUC472HG8AE,MCU_LQFP176_24X24mm 
NUC472HI8AE,MCU_LQFP176_24X24mm 
NUC472JG8AE,MCU_LQFP144_20X20mm 
NUC472JI8AE,MCU_LQFP144_20X20mm 
NUC472KG8AE,MCU_LQFP128_14X14mm
NUC472KI8AE,MCU_LQFP128_14X14mm
NUC472VG8AE,MCU_LQFP100_14X14mm
NUC472VI8AE,MCU_LQFP100_14X14mm
NUC505DL13Y,MCU_LQFP48_7X7mm
NUC505DLA,MCU_LQFP48_7X7mm
NUC505DS13Y,MCU_LQFP64_7X7mm 
NUC505DSA,MCU_LQFP64_7X7mm 
NUC505YLA,MCU_QFN48_7X7mm 
NUC505YLA2Y,MCU_QFN48_7X7mm 
NUC505YO13Y,MCU_QFN88_10X10mm 
M2351CIAAE,MCU_WLCSP49_3X3mm
M2351KIAAE,MCU_LQFP128_14X14mm
M2351SIAAE,MCU_LQFP64_7X7mm 
M2351ZIAAE,MCU_QFN33_5X5mm
M2354KJFAE,MCU_LQFP128_14X14mm
M2354SJFAE,MCU_LQFP64_7X7mm 
M2354LJFAE,MCU_LQFP48_7X7mm 
M261KIAAE,MCU_LQFP128_14X14mm
M261SIAAE,MCU_LQFP64_7X7mm 
M261ZIAAE,MCU_QFN33_5X5mm
M262KIAAE,MCU_LQFP128_14X14mm
M262SIAAE,MCU_LQFP64_7X7mm 
M262ZIAAE,MCU_QFN33_5X5mm
M263KIAAE,MCU_LQFP128_14X14mm
M263SIAAE,MCU_LQFP64_7X7mm 
M263ZIAAE,MCU_QFN33_5X5mm
M251FC2AE,MCU_TSSOP20_4.4X6.5mm
M251EC2AE,MCU_TSSOP28_4.4X9.7mm
M251ZC2AE,MCU_QFN33_4X4mm
M251LC2AE,MCU_LQFP48_7X7mm
M251SC2AE,MCU_LQFP64_7X7mm 
M251ZD2AE,MCU_QFN33_4X4mm
M251LD2AE,MCU_LQFP48_7X7mm
M251SD2AE,MCU_LQFP64_7X7mm 
M251LE3AE,MCU_LQFP48_7X7mm
M251SE3AE,MCU_LQFP64_7X7mm 
M251KE3AE,MCU_LQFP128_14X14mm
M251LG6AE,MCU_LQFP48_7X7mm
M251SG6AE,MCU_LQFP64_7X7mm 
M251KG6AE,MCU_LQFP128_14X14mm
M252FC2AE,MCU_TSSOP20_4.4X6.5mm
M252EC2AE,MCU_TSSOP28_4.4X9.7mm
M252ZC2AE,MCU_QFN33_4X4mm
M252LC2AE,MCU_LQFP48_7X7mm
M252SC2AE,MCU_LQFP64_7X7mm 
M252ZD2AE,MCU_QFN33_4X4mm
M252LD2AE,MCU_LQFP48_7X7mm
M252SD2AE,MCU_LQFP64_7X7mm 
M252LE3AE,MCU_LQFP48_7X7mm
M252SE3AE,MCU_LQFP64_7X7mm 
M252KE3AE,MCU_LQFP128_14X14mm
M252LG6AE,MCU_LQFP48_7X7mm
M252SG6AE,MCU_LQFP64_7X7mm 
M252KG6AE,MCU_LQFP128_14X14mm
